Protein_feat,All_Data,Partition_1,Partition_2,Partition_3,Partition_4,Partition_5,Partition_6,Partition_7,Partition_Average
Amino Acid Percent K,0.005086409,0.005689071,0.005657263,0.005487196,0.006595359,0.00576646,0.00510616,0.005587225,0.00569839
Amino Acid Percent L,0.006160808,0.006832613,0.003602685,0.005802977,0.006276179,0.00571613,0.004618227,0.004812106,0.005380131
Amino Acid Percent M,0.006846571,0.008725636,0.007660834,0.00551186,0.00757781,0.007613209,0.007482908,0.006955564,0.007361117
Amino Acid Percent N,0.005318841,0.005869013,0.005641117,0.00684461,0.005861548,0.005912551,0.003720786,0.004813694,0.005523332
Amino Acid Percent P,0.005565834,0.007000831,0.006107926,0.006372567,0.006236311,0.003667765,0.008292574,0.006387575,0.006295078
Amino Acid Percent Q,0.007035374,0.007232835,0.007274525,0.00823232,0.007661644,0.006975021,0.005869595,0.005597384,0.006977618
Amino Acid Percent R,0.005455826,0.005557292,0.005955645,0.004460535,0.004878288,0.006027883,0.005232382,0.006313705,0.00548939
Amino Acid Percent S,0.012227607,0.011071053,0.009616212,0.008808957,0.010927937,0.009092868,0.010301721,0.009606957,0.009917958
Amino Acid Percent T,0.004266971,0.00417483,0.004451375,0.004093844,0.0045389,0.003762248,0.004371725,0.004050628,0.004206222
Amino Acid Percent V,0.005581869,0.00515467,0.005600321,0.005156718,0.004784867,0.00322301,0.00420477,0.004510593,0.004662135
Amino Acid Percent W,0.005865273,0.007242236,0.005170298,0.005289719,0.007558577,0.005038825,0.004518162,0.004977108,0.00568499
Amino Acid Percent Y,0.00612038,0.005452451,0.006058421,0.007132535,0.004357038,0.005426819,0.004260512,0.005179951,0.005409676
Molar Extinction Coefficient 1,0.005568674,0.008931126,0.007776415,0.00563304,0.005440874,0.006833774,0.005784829,0.004539812,0.006419981
Molar Extinction Coefficient 2,0.006336546,0.0045224,0.006687213,0.005491298,0.007609198,0.004925092,0.005306113,0.008545506,0.00615526
Secondary Structure helix,0.005721972,0.0041492,0.005804258,0.004887723,0.004322426,0.005020622,0.006444179,0.005705031,0.005190491
Secondary Structure turn,0.007870958,0.009702067,0.004641825,0.007362823,0.00881895,0.006278034,0.006020547,0.007437571,0.00718026
Secondary Structure sheet,0.025906343,0.024765333,0.02876864,0.050477188,0.050147366,0.020710627,0.028928848,0.03695267,0.034392957
aliphatic_aliphatic,0.008582974,0.006086865,0.006289937,0.005908223,0.00829455,0.006343884,0.010700157,0.006776032,0.007199949
aliphatic_positive,0.004486382,0.007477925,0.00471835,0.004520771,0.005213027,0.004506277,0.004004029,0.005371284,0.005115952
aliphatic_negative,0.004698286,0.007377158,0.003296276,0.004643064,0.00552303,0.005466653,0.007465581,0.006201149,0.005710416
aliphatic_uncharged,0.005758622,0.005255154,0.004406028,0.004887654,0.006433437,0.007031161,0.004382493,0.005405165,0.005400156
aliphatic_aromatic,0.004909308,0.004937075,0.005762501,0.004687299,0.003127596,0.005210034,0.004532882,0.004826878,0.004726323
positive_aliphatic,0.005312793,0.00457509,0.005961559,0.006114061,0.004282041,0.005197676,0.002806624,0.004888656,0.004832243
positive_positive,0.005170356,0.006190624,0.006454296,0.00503851,0.0043386,0.005411626,0.005933173,0.005010413,0.005482463
positive_negative,0.005145314,0.006074352,0.00468126,0.005066532,0.004091266,0.003237923,0.004658536,0.004898688,0.004672651
positive_uncharged,0.004799222,0.004259748,0.004298317,0.004781862,0.00349915,0.004571375,0.004161973,0.003767737,0.004191452
positive_aromatic,0.005278479,0.005382102,0.006748723,0.00690969,0.003340356,0.006360163,0.005815268,0.004858562,0.005630695
negative_aliphatic,0.006577229,0.011044041,0.005646062,0.007248256,0.007706331,0.005457572,0.00598337,0.007629401,0.007245005
negative_positive,0.004271932,0.003963041,0.004672166,0.004402078,0.003726752,0.00437803,0.004155767,0.003445847,0.00410624
negative_negative,0.004178033,0.004326863,0.005571917,0.003686847,0.00444204,0.00446417,0.005135377,0.005229128,0.004693763
negative_uncharged,0.004992413,0.003620496,0.004990718,0.005909816,0.005401272,0.004710694,0.004669066,0.005232927,0.00493357
negative_aromatic,0.007241257,0.006015712,0.006871221,0.00645904,0.006757235,0.006176238,0.004557516,0.006898853,0.006247974
uncharged_aliphatic,0.005751132,0.005261266,0.00646703,0.005409904,0.004677776,0.005481644,0.005831065,0.005779734,0.005558346
uncharged_positive,0.003290262,0.00421106,0.005851385,0.003374751,0.004545489,0.004195964,0.005202613,0.006366736,0.004821143
uncharged_negative,0.004722036,0.00582272,0.004991564,0.005156939,0.005226618,0.006215493,0.005906658,0.005055145,0.005482163
uncharged_uncharged,0.005911344,0.00785872,0.01003134,0.010358216,0.003493572,0.007923503,0.006413434,0.010780843,0.008122804
uncharged_aromatic,0.005113174,0.006125453,0.005959672,0.005918501,0.004865347,0.005264556,0.0053091,0.004610596,0.005436175
aromatic_aliphatic,0.010249523,0.010324383,0.014176582,0.01143533,0.008040072,0.008626547,0.005587844,0.012562366,0.010107589
aromatic_positive,0.005942232,0.006481794,0.005599774,0.004891153,0.005391245,0.004483959,0.005339497,0.00552717,0.005387798
aromatic_negative,0.004742169,0.008454453,0.00816167,0.005031945,0.007128905,0.00644834,0.005188969,0.004653914,0.006438314
aromatic_uncharged,0.005401571,0.006085354,0.004140894,0.005703866,0.003707546,0.005302527,0.005189227,0.005988402,0.005159688
aromatic_aromatic,0.005035386,0.006481941,0.006342582,0.004611841,0.004685601,0.005924831,0.005067933,0.004521638,0.005376624
Glycosylation,0.027419696,0.03234574,0.029931065,0.024044033,0.028358892,0.027703073,0.031076733,0.033165492,0.02951786
Cross-link,0.007794728,0.009666902,0.006660956,0.007802574,0.00867741,0.015313961,0.008144594,0.00523203,0.008785489
Modified residue,0.023429722,0.028414475,0.027243277,0.028205328,0.022429362,0.024454515,0.024467329,0.027799575,0.026144838
Signal,0.009017383,0.00742022,0.00944882,0.009785508,0.005588466,0.007190394,0.003964751,0.010646099,0.007720608
Disulfide bond,0.015581962,0.021085886,0.02105026,0.022614243,0.017902158,0.016670614,0.02059113,0.017261688,0.019596567
O-linked,0.012971754,0.006232981,0.008099668,0.012018921,0.010991202,0.009311761,0.01195139,0.010037771,0.009806243
N-linked,0.004454622,0.003704599,0.023966724,0.003215544,0.003521737,0.004408286,0.006895521,0.006736948,0.007492765
C-linked,0,0,0,0,0,0,0,0,0
N-beta-linked,0,0,0,0,0,0,0,0,0
S-linked,0,0,0,0,0,0,0,0,0
O-alpha-linked,0,0,0,0,0,0,0,0,0
binary_count,0.007975305,0.007978919,0.011597659,0.013746125,0.008421991,0.012683378,0.00438509,0.007677013,0.009498596
binary_experimental_count,0.006471376,0.010083142,0.007174395,0.007718274,0.007320422,0.003943096,0.007530948,0.008845896,0.007516596
xeno_count,0.013610812,0.01893557,0.013123949,0.020666987,0.010246135,0.025078736,0.022897776,0.013138768,0.017726848
xeno_experimental_count,0.012476442,0.011901861,0.010898884,0.01524902,0.015388514,0.008360456,0.011152578,0.016598424,0.01279282
degree_binary,0.007937809,0.006776131,0.006544801,0.004354958,0.004721426,0.006466823,0.006398294,0.005156025,0.005774065
degree_xeno,0,0,0,0,0,0,0,0,0
degree_all,0,0,0,0,0,0,0,0,0
avg_degree_nbr_binary,0.004564306,0.007734254,0.004917287,0.007400449,0.006860893,0.005187618,0.006359299,0.005190865,0.006235809
avg_degree_nbr_xeno,0,0,0,0,0,0,0,0,0
avg_degree_nbr_all,0,0,0,0,0,0,0,0,0
strongly_connected_component_sizes_all,0.009535058,0.008632209,0.007448311,0.012716453,0.005303417,0.012187371,0.004859802,0.009089905,0.008605353
endosome,0,0,0,0.004469567,0,0.003991516,0,0,0.001208726
extracellular vessicle,0,0,0,0,0,0,0,0,0
cytoplasmic granule,0,0,0,0,0,0,0,0,0
cell membrane,0.012249776,0.011240193,0.010192194,0.008583123,0.012661681,0.012636759,0.00693038,0.007358416,0.009943249
preautophagosomal structure,0,0,0,0,0,0,0,0,0
cornified envelope,0,0,0,0,0,0,0,0,0
lysosome,0.007919569,0.011624168,0.001360175,0.005135194,0.009572468,0.016469462,0.006791018,0,0.007278927
cytoplasmic vesicle,0.003452609,0.007996856,0.009176902,0.009254303,0.015016302,0.006993004,0.012553338,0.010356433,0.010192447
late endosome,0.004689366,0.006370338,0.007626916,0,0.008280244,0,0.001636759,0.006150163,0.004294917
dynein axonemal particle,0,0,0,0,0,0,0,0,0
microsome,0.016319962,0.013310499,0.013939347,0.002627022,0.013276911,0.008964442,0.011758018,0.01015931,0.010576508
vacuole,0,0,0,0,0,0,0,0,0
vesicle,0,0,0,0,0,0,0,0,0
perikaryon,0,0,0,0,0,0,0,0,0
synapse,0.006227364,0,0.000921072,0,0,0.003574464,0,0,0.000642219
peroxisome,0,0,0,0,0,0,0,0,0
photoreceptor,0,0,0,0,0,0,0,0,0
vacuole membrane,0,0,0,0,0,0,0,0,0
sarcoplasmic reticulum,0,0,0,0,0,0,0,0,0
midbody,0.002769486,0,0,0.004001474,0.004378486,0,0,0,0.001197137
cleavage furrow,0,0,0,0,0,0,0,0,0
cell surface,0,0,0,0,0,0,0,0,0
postsynapse,0.01814479,0.006149521,0.00770021,0.013787961,0.019379186,0.012694106,0.013358852,0.014702548,0.012538912
parasitophorous vacuole,0,0,0,0,0,0,0,0,0
cell projection,0,0,0,0,0,0.00494249,0.002452024,0.007176535,0.002081578
zymogen granule,0,0,0,0,0,0,0,0,0
cytoplasm,0.012237161,0.008204868,0.008570679,0.005448678,0.006047073,0.009792136,0.009296415,0.010449498,0.008258479
membrane,0.003941274,0.003213717,0.003118071,0.006225514,0.002962428,0.008115014,0.005886868,0.004667285,0.004884128
secreted,0.013498749,0.011110914,0.015368043,0.010605569,0.010415083,0.007861959,0.008237368,0.010184203,0.010540449
smooth endoplasmic reticulum membrane,0,0,0,0,0,0,0,0,0
cell junction,0.003771092,0,0,0.003642249,0.006523715,0,0.002723979,0.001223237,0.002016169
recycling endosome,0,0,0,0,0,0,0,0.00355489,0.000507841
lipid droplet,0,0,0,0,0,0,0,0,0
golgi outpost,0,0,0,0,0,0,0,0,0
cytolitic granule,0,0,0,0,0,0,0,0,0
golgo apparatus,0.017933378,0.012491708,0.014333345,0.009881679,0.012167342,0.013614806,0.012533062,0.011041809,0.012294822
melanosome,0,0,0,0,0,0,0,0,0
myelin membrane,0,0,0,0,0,0,0,0,0
chromosome,0.006310861,0.005941,0,0.002044849,0.003666648,0.020501904,0.01945293,0.006079697,0.008241003
lateral cell membrane,0,0,0,0,0,0,0,0,0
inflammasome,0,0,0,0,0,0,0,0,0
rough endoplasmic reticulum,0.002418883,0,0,0,0,0,0,0,0
early endosome,0.004214778,0,0.004778958,0,0.005723879,0.005794962,0.011221782,0,0.003931369
presynapse,0,0,0,0,0,0,0,0,0
nucleus,0.009970345,0.007118327,0.012292842,0.014208513,0.007070404,0.014330718,0.007022169,0.015499615,0.011077513
mitochondrion,0.012034156,0.010828894,0.024919914,0.026021505,0.009002582,0.019887738,0.018598689,0.019175567,0.018347843
virion,0,0,0,0,0,0,0,0,0
endoplasmic reticulum,0.005751266,0.003295284,0.010772317,0,0.012468713,0.004163344,0.006471694,0.001454343,0.005517956
target cell membrane,0,0,0,0,0,0,0,0,0
endomembrane system,0,0,0,0,0,0,0,0,0
rrm,0.005797751,0,0,0.004065545,0.011576692,0.011298439,0.003728723,0.004717145,0.00505522
acidic residues,0,0.002696749,0,0,0,0,0.009544082,0.006675161,0.002702285
ph,0,0,0,0,0,0,0.016814109,0,0.002402016
krab,0,0,0,0,0,0,0,0,0
pdz,0.004471637,0.009526649,0,0,0,0,0,0.005149594,0.002096606
btb,0.005429031,0.00793062,0.004099942,0.007029632,0.005403863,0.006150252,0.004082051,0.005544828,0.005748741
nuclear localization signal,0,0.001683824,0,0,0,0,0.003422392,0.004795527,0.001414535
fibronectin type-iii,0.003497616,0,0.006053767,0,0,0,0,0,0.000864824
disordered,0.004753587,0.005556001,0.005868139,0.00965453,0.011022171,0.008867558,0.006293784,0.010015452,0.008182519
ig-like v-type,0.002947925,0,0,0,0,0,0,0,0
ef-hand,0.01066955,0.005726902,0.010367806,0,0.019861737,0.019994019,0.008950415,0.004911498,0.009973196
sh3,0,0.011357926,0,0,0.006225139,0,0.008432821,0,0.003716555
ig-like,0,0,0.007515683,0.001210186,0,0,0,0,0.001246553
pro residues,0.002998864,0.003388172,0,0.00594442,0.000927975,0.00047456,0,0.002766001,0.001928733
protein kinase,0.06285034,0.06257169,0.040477376,0.04502032,0.059190117,0.057498213,0.045991432,0.044875093,0.05080346
ig-like c2-type,0.007906942,0,0.010569611,0.016000377,0,0,0.013293497,0,0.005694784
basic and acidic residues,0.005756732,0.004640732,0.011758596,0,0.003818458,0.004708388,0.010254499,0.007614321,0.006113571
basic residues,0.001984377,0,0,0,0.005689501,0.005868862,0,0,0.001651195
egf-like,0.004475343,0,0,0.005864193,0,0,0,0.001362458,0.001032379
polar residues,0.005031188,0.002533422,0.002990692,0.004135723,0.004949224,0.002722453,0.001473841,0.002764021,0.003081339
Mean,0.008762751,0.011652333,0.015702303,0.004338638,0.007100029,0.009934094,0.008290984,0.014898015,0.01027377
Mode,0.004204639,0.005301478,0.003578169,0.004837157,0.003891851,0.004120364,0.004758872,0.004914922,0.004486116
Min,0.004017359,0.00446575,0.004428789,0.005363355,0.004095075,0.003941335,0.005085114,0.0044445,0.004546274
Max,0.004062866,0.005855175,0.003708059,0.005381294,0.005120857,0.004794369,0.004144313,0.005002608,0.004858096
Variance,0.006105382,0.007417887,0.004891296,0.007749479,0.006019235,0.006568492,0.004753238,0.005986042,0.006197953
Median,0.008348777,0.004902369,0.007523451,0.008075533,0.005623994,0.008939082,0.006748835,0.008024204,0.007119638
Standard Deviation,0,0,0,0,0,0,0,0,0
Range,0.003726155,0.005208428,0.00591274,0.00401633,0.003068878,0.00321927,0.003189382,0.004388054,0.004143298
Min gap,0.005876884,0.003884509,0.003652948,0.005681483,0.004524411,0.004219916,0.005490335,0.004841419,0.004613574
Max gap,0.004341588,0.005384003,0.004309463,0.004114473,0.00532582,0.003685901,0.004934183,0.005130535,0.004697769
Average gap,0.005293038,0.004461368,0.004747129,0.004473138,0.004926081,0.004499,0.005109038,0.003632817,0.004549795
Min 2-hop gap,0.004679795,0.003761224,0.003852601,0.004296715,0.004353741,0.004824234,0.004685156,0.004035956,0.004258518
Max 2-hop gap,0.00389353,0.004496495,0.004742962,0.0047235,0.003672187,0.004919046,0.004408619,0.003572231,0.004362149
Average 2-hop gap,0.005145744,0.006063627,0.004704801,0.00624989,0.006385505,0.003087899,0.004411233,0.004571999,0.005067851
Latent_Value_1,0.006703701,0.003258802,0.004686318,0.004558759,0.004987089,0.010830457,0.004222412,0.0038615,0.005200763
Latent_Value_2,0.004176389,0.001935989,0.005426602,0.019786993,0.003053084,0.004719548,0.007589301,0.002858555,0.006481439
Latent_Value_3,0.009139733,0.004096471,0.006455195,0.009797061,0.010112627,0.006357119,0.005340496,0.004473153,0.006661732
Latent_Value_4,0.003881165,0.004475944,0.00476988,0.004608762,0.005254653,0.005886847,0.004190628,0.005808692,0.004999343
Latent_Value_5,0.007122039,0.003694849,0.006227846,0.003986374,0.006994907,0.007027502,0.00504572,0.0066526,0.0056614
Latent_Value_6,0.004921021,0.003513268,0.00420206,0.003906064,0.003347191,0.00428284,0.003307262,0.004022782,0.003797353
Latent_Value_7,0.006525861,0.004651323,0.005227121,0.006877548,0.004039662,0.004097788,0.004026801,0.006343404,0.005037664
Latent_Value_8,0.005081859,0.005993713,0.004612892,0.004295433,0.005928542,0.004237698,0.008081713,0.007118359,0.005752621
Latent_Value_9,0.004079596,0.004458987,0.005945049,0.005267281,0.003308979,0.00346653,0.002545009,0.003851041,0.00412041
Latent_Value_10,0.004612327,0.008990404,0.004618544,0.003370735,0.005856549,0.005628725,0.008534394,0.007747576,0.006392418
Latent_Value_11,0.00398753,0.005251513,0.004328359,0.00424225,0.00459189,0.0037421,0.007033944,0.004817729,0.004858255
Latent_Value_12,0.003231698,0.004593221,0.002639183,0.006178957,0.004400502,0.006530541,0.005921366,0.006338553,0.005228903
Latent_Value_13,0.005268734,0.00522037,0.00430709,0.006303768,0.002844091,0.002427688,0.003610422,0.002102598,0.003830861
Latent_Value_14,0.004099823,0.004915511,0.00591311,0.006413186,0.004978137,0.004964381,0.005316509,0.003280041,0.005111553
Latent_Value_15,0.004499376,0.005090974,0.005500346,0.003945649,0.004840904,0.003118184,0.005784335,0.004326521,0.004658131
Latent_Value_16,0.004126385,0.004867044,0.003925905,0.004135,0.00539779,0.004846438,0.005766196,0.006472413,0.005058684
Latent_Value_17,0.004356529,0.002827923,0.003398917,0.005259845,0.004415687,0.004612424,0.002806775,0.010837493,0.004879866
Latent_Value_18,0.007619012,0.006966221,0.003942979,0.005981809,0.004590697,0.002340761,0.008327233,0.004404075,0.005221967
Latent_Value_19,0.005045245,0.003493787,0.004942142,0.007246509,0.00731377,0.0087442,0.004025809,0.00783971,0.006229418
Latent_Value_20,0.005343139,0.002563471,0.007127234,0.005198757,0.010182962,0.005692948,0.005463675,0.004719104,0.005849736
